ASU
Data Ran on:  2022-10-21
Overall Demographics
"","N_FEMALE","N_MALE","N_GEN_UNK","N_GEN_NA","N_ETH_0","N_ETH_1","N_ETH_2","N_ETH_NA","N_LI_0","N_LI_1","N_LI_NA","N_FG_0","N_FG_1","N_FG_NA","N_TR_0","N_TR_1","N_TR_NA","N_INT_0","N_INT_1","N_INT_NA"
"1",3290,3117,1,0,3640,2191,544,0,4408,2000,0,4858,1550,0,6408,0,0,6408,0,0

____________________________

Grade Anomalies and SAI
"","opp","N","RATE_DFW","mean_grade","sd_grade","med_grade","mad_grade","mn_ga","sd_ga","med_ga","mad_ga"
"1","FEM",1275,0.115294117647059,2.89356078431373,1.14973481142761,3,1.4826,-0.547498874784713,1.02830495406751,-0.310750000000001,0.832479900000002
"2","FG",110,0.236363636363636,2.34136363636364,1.24278207975016,2.33,0.993342,-0.594120049814538,1.07652133271959,-0.559577922077922,0.863329384615385
"3","FG&FEM",160,0.175,2.5925,1.17180020620857,3,1.4826,-0.700941912298074,1.06725588380023,-0.598795454545455,1.01868098181818
"4","FG&LI",151,0.231788079470199,2.51960264900662,1.43752791545982,3,1.4826,-0.541468243783659,1.30378558572408,-0.26075,1.02395769
"5","FG&LI&FEM",192,0.203125,2.4415625,1.23349826293339,2.66,0.978516,-0.79626971889176,1.08905147003233,-0.701434782608696,0.8865948
"6","LI",222,0.144144144144144,2.8018018018018,1.25273543100179,3,1.4826,-0.300877277133864,1.17138095559543,-0.0357902097902099,0.85661232534965
"7","LI&FEM",223,0.134529147982063,2.75946188340807,1.17488150720531,3,1.4826,-0.615430138401021,1.03967714611096,-0.467692307692308,0.967111384615385
"8","NotQuad",1307,0.169854628921194,2.62702371843917,1.22768246235757,3,1.4826,-0.476321746167743,1.07891341396067,-0.299,0.857912192307692
"9","Quad",392,0.26530612244898,2.26413265306122,1.27447748192088,2.33,1.4826,-0.904503730756183,1.24211280492447,-0.726350649350649,1.15576083
"10","URM",676,0.230769230769231,2.39752958579882,1.29783430684054,2.66,0.993342,-0.529206941280764,1.23292571859117,-0.335675,1.082112675
"11","URM&FEM",680,0.2,2.54866176470588,1.29041628965143,3,1.4826,-0.703281787686478,1.14872811590774,-0.492307692307692,1.02865483636364
"12","URM&FG",85,0.317647058823529,2.14023529411765,1.34972040885245,2.33,1.4826,-0.647261641147899,1.29832138293582,-0.428571428571428,0.931522875
"13","URM&FG&FEM",115,0.31304347826087,2.21339130434783,1.36494578451328,2,1.4826,-0.793273900776156,1.24226527559803,-0.796392857142857,1.25342758636364
"14","URM&FG&LI",345,0.240579710144928,2.34168115942029,1.30236125552998,2.33,1.4826,-0.540902004582346,1.25103663555418,-0.371,1.0390908
"15","URM&LI",222,0.216216216216216,2.43707207207207,1.31342079847897,2.66,0.993342,-0.531333664504756,1.18618584292522,-0.318846153846154,0.867994909090909
"16","URM&LI&FEM",253,0.221343873517787,2.41624505928854,1.28316407790226,2.66,0.993342,-0.767218375728545,1.17170710561313,-0.661818181818182,0.981211636363637
"17","0",392,0.26530612244898,2.26413265306122,1.27447748192088,2.33,1.4826,-0.904503730756183,1.24211280492447,-0.726350649350649,1.15576083
"18","1",905,0.23646408839779,2.36741436464088,1.29071331962833,2.33,1.4826,-0.690417375974262,1.19890919413891,-0.557666666666667,1.04239135
"19","2",1521,0.199868507560815,2.54218277449047,1.28934922211614,3,1.4826,-0.645863418992034,1.15624275853144,-0.4411,0.98429814
"20","3",2283,0.158125273762593,2.71115637319317,1.23170164159449,3,1.4826,-0.520347314349375,1.11067232956717,-0.310750000000001,0.904015350000001
"21","4",1307,0.169854628921194,2.62702371843917,1.22768246235757,3,1.4826,-0.476321746167743,1.07891341396067,-0.299,0.857912192307692

____________________________

Regression, grade penalty ~ sai
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.824290767321501,0.0341452571412371,-24.140710492,2.6237103229812e-123
"sai",0.0942210651582223,0.0124180588152422,7.58742300709456,3.72754089917893e-14

____________________________

