ASU
Data Ran on:  2022-10-21
Overall Demographics
"","N_FEMALE","N_MALE","N_GEN_UNK","N_GEN_NA","N_ETH_0","N_ETH_1","N_ETH_2","N_ETH_NA","N_LI_0","N_LI_1","N_LI_NA","N_FG_0","N_FG_1","N_FG_NA","N_TR_0","N_TR_1","N_TR_NA","N_INT_0","N_INT_1","N_INT_NA"
"1",495,1729,0,0,1329,459,419,0,1532,692,0,1765,459,0,2224,0,0,2224,0,0

____________________________

Grade Anomalies and SAI
"","opp","N","RATE_DFW","mean_grade","sd_grade","med_grade","mad_grade","mn_ga","sd_ga","med_ga","mad_ga"
"1","FEM",175,0.0571428571428571,3.25377142857143,1.04069856859382,3.66,0.978516,-0.466914932052075,0.944407734647453,-0.157666666666667,0.601099261538461
"2","FG",73,0.178082191780822,2.73890410958904,1.27995829103469,3,1.4826,-0.890236285803238,1.10911264119047,-0.663923076923077,1.11405985384615
"3","FG&FEM",22,0.0909090909090909,2.93818181818182,1.19328931694681,3,1.4826,-0.747434594950504,1.1418700402085,-0.454,0.848018688461538
"4","FG&LI",83,0.144578313253012,2.59734939759036,1.17595325560134,3,1.4826,-0.934440445614354,1.04575159521155,-0.8,0.999643049999999
"5","FG&LI&FEM",14,0.142857142857143,2.785,1.12923902218741,2.83,1.4826,-0.832566283224165,1.25397776962613,-0.362423076923077,1.29595125
"6","LI",185,0.145945945945946,2.7752972972973,1.27187214084424,3,1.4826,-0.84398620741959,1.16689363614099,-0.590076923076923,0.946860046153846
"7","LI&FEM",45,0.0888888888888889,3.14644444444444,0.998708610601155,3.33,0.993342,-0.527356938512327,0.936857409153097,-0.304636363636363,0.667689872727273
"8","NotQuad",732,0.127049180327869,2.92322404371585,1.17716310846691,3,1.4826,-0.670367553151442,1.05228118048126,-0.399482142857143,0.812935240384615
"9","Quad",46,0.152173913043478,2.6804347826087,1.29721746060428,3,1.4826,-0.847129796688791,1.15578772036932,-0.56,0.877429636363636
"10","URM",323,0.160990712074303,2.81006191950464,1.22995202497159,3,1.4826,-0.764300143882898,1.14917536988563,-0.44,0.893266499999999
"11","URM&FEM",144,0.0902777777777778,3.21145833333333,1.18387887347606,3.66,0.978516,-0.544706771127157,1.17509536958624,-0.104821428571428,0.610774176923077
"12","URM&FG",49,0.122448979591837,2.8965306122449,1.19416210342302,3,1.4826,-0.661162816782513,1.14992301221139,-0.393727272727272,0.725421017045454
"13","URM&FG&FEM",14,0.214285714285714,2.49928571428571,1.47169951095645,2.33,2.2239,-0.808405664573522,1.32309311979098,-0.681583333333334,1.34410045
"14","URM&FG&LI",158,0.126582278481013,2.86177215189873,1.1682751829807,3,1.4826,-0.679122722892286,1.08946949520522,-0.410333333333333,0.90301269423077
"15","URM&LI",126,0.206349206349206,2.62039682539683,1.27358103050801,3,1.4826,-0.847264149505027,1.22907246469209,-0.614134615384615,1.03914375
"16","URM&LI&FEM",35,0.114285714285714,3.04685714285714,1.03855321149628,3,0.993342,-0.63588424115567,0.991838379437458,-0.473571428571429,0.780483
"17","0",46,0.152173913043478,2.6804347826087,1.29721746060428,3,1.4826,-0.847129796688791,1.15578772036932,-0.56,0.877429636363636
"18","1",221,0.131221719457014,2.86325791855204,1.16543174656559,3,1.4826,-0.69018527568596,1.09461268903159,-0.45375,0.951829200000002
"19","2",469,0.134328358208955,2.89202558635394,1.21683927094327,3,1.4826,-0.714974874648709,1.14872830539087,-0.490692307692307,0.882232534615384
"20","3",756,0.134920634920635,2.89739417989418,1.21821406927871,3,1.4826,-0.727121371454431,1.11361330091949,-0.429,0.8350215
"21","4",732,0.127049180327869,2.92322404371585,1.17716310846691,3,1.4826,-0.670367553151442,1.05228118048126,-0.399482142857143,0.812935240384615

____________________________

Regression, grade penalty ~ sai
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.754989686478487,0.0676031370969232,-11.1679682171561,3.24945146275924e-28
"sai",0.017602222536148,0.0222056576290868,0.792690891220943,0.428042564375214

____________________________

