GROUP,N,RATE_DFW,mean_grade,sd_grade,med_grade,mad_grade,mn_ga,sd_ga,med_ga,mad_ga
ALL,22290,0.11538806639748767,2.8460385823239123,1.0991805423693464,3,0.9933419999999998,-0.5936311144913695,0.9541150772020308,-0.4047999999999998,0.7256173866666666
FG,5307,0.16318070472960242,2.5734218956095725,1.1293095084032636,2.66,0.9785160000000002,-0.7503518721662059,1.0117531859290567,-0.560222222222222,0.7901509212121207
FEM,7782,0.08943716268311488,2.946094834232845,1.0325564556403724,3,0.9933419999999998,-0.5502031855120908,0.8647823980045619,-0.3954545454545455,0.6671700000000003
URM,6095,0.17489745693191142,2.527363412633306,1.1436750000546856,2.66,0.9785160000000002,-0.7614058798749239,1.0285380570345346,-0.5768461538461538,0.7961976713286713
LI,6699,0.14420062695924765,2.6651724137931034,1.1147606970754365,3,1.4826,-0.7141643410745677,1.0070713925702557,-0.5302857142857142,0.7862016
FG_FEM,1948,0.1437371663244353,2.584630390143737,1.0697593760709854,2.66,0.9785160000000002,-0.7650528187201501,0.9377444507520687,-0.6020000000000003,0.7413
FEM_URM,2287,0.15478793178836905,2.5766331438565806,1.1007112301833917,2.66,0.9785160000000002,-0.7633019617016875,0.970064306610387,-0.5875000000000004,0.7327413545454552
FG_URM,2568,0.19937694704049844,2.3801908099688474,1.1224387034353631,2.33,0.9933419999999998,-0.8560429517637549,1.0394179781711412,-0.6670909090909087,0.8070735272727276
FG_LI,3502,0.16561964591661907,2.5426670474014847,1.1175333819133713,2.66,0.9785160000000002,-0.7845825216042895,1.0183675265267538,-0.5875192307692305,0.8038869000000001
LI_URM,2824,0.19405099150141644,2.4001805949008497,1.1114142614741258,2.33,0.9933419999999998,-0.8540314728858607,1.0376705019779846,-0.6666666666666665,0.8059261538461538
GEN_LI,2455,0.12179226069246436,2.698908350305499,1.0566913491300722,3,0.9933419999999998,-0.7025880900295343,0.9283084494884956,-0.5454545454545454,0.7312362909090906
FG_FEM_LI,1326,0.1515837104072398,2.537662141779789,1.0699819616322994,2.66,0.9785160000000002,-0.8126200937110243,0.9544307294007405,-0.6478166666666667,0.7763881999999998
FG_FEM_URM,978,0.19427402862985685,2.355040899795501,1.08688932352877,2.33,0.9933419999999998,-0.9192013298877402,1.0041254653984653,-0.7280000000000002,0.7681350600000003
FG_URM_LI,1075,0.1786046511627907,2.400958139534884,1.0611927660422709,2.33,0.9933419999999998,-0.8854669961967784,0.9756514181979912,-0.6999999999999997,0.7430791200000004
URM_LI_GEN,1075,0.1786046511627907,2.400958139534884,1.0611927660422709,2.33,0.9933419999999998,-0.8854669961967784,0.9756514181979912,-0.6999999999999997,0.7430791200000004
QUAD,741,0.19973009446693657,2.3251686909581646,1.074223354847352,2.33,0.9933419999999998,-0.9538220477965631,1.0040801505052304,-0.7636363636363637,0.7834597527272723
NONE,7418,0.09800485306012402,2.9460272310595848,1.0757415722318089,3,0.9933419999999998,-0.5296350759570653,0.9371209137874169,-0.33222222222222264,0.7022346666666668
