ASU
Data Ran on:  2022-10-21
Overall Demographics
"","N_FEMALE","N_MALE","N_GEN_UNK","N_GEN_NA","N_ETH_0","N_ETH_1","N_ETH_2","N_ETH_NA","N_LI_0","N_LI_1","N_LI_NA","N_FG_0","N_FG_1","N_FG_NA","N_TR_0","N_TR_1","N_TR_NA","N_INT_0","N_INT_1","N_INT_NA"
"1",6682,6802,3,0,7693,4980,759,0,8720,4767,0,9872,3615,0,13487,0,0,13487,0,0

____________________________

Grade Anomalies and SAI
"","opp","N","RATE_DFW","mean_grade","sd_grade","med_grade","mad_grade","mn_ga","sd_ga","med_ga","mad_ga"
"1","FEM",2360,0.106779661016949,2.8614406779661,1.11575124850271,3,1.4826,-0.411960971693047,1.00483712106391,-0.2721,0.83010774
"2","FG",353,0.164305949008499,2.63079320113314,1.23156932626961,3,1.4826,-0.364299757985857,1.08864444065594,-0.111111111111111,0.858590133333333
"3","FG&FEM",380,0.152631578947368,2.73328947368421,1.2187330548532,3,1.4826,-0.522044371588791,1.10446107896576,-0.369090909090909,0.879981851048951
"4","FG&LI",295,0.203389830508475,2.5391186440678,1.34327624013241,3,1.4826,-0.499637711736286,1.30290890704255,-0.2721,1.02610746
"5","FG&LI&FEM",404,0.198019801980198,2.52292079207921,1.31963032783703,3,1.4826,-0.638398215078434,1.19686209173925,-0.426905714285714,0.97090341923077
"6","LI",584,0.116438356164384,2.85676369863014,1.16192953570889,3,1.4826,-0.261692029063249,1.06145528916279,-0.076123076923077,0.84202971020979
"7","LI&FEM",561,0.105169340463458,2.86411764705882,1.13124614303628,3,1.4826,-0.418005434614969,1.06264818414333,-0.285714285714286,0.90485196
"8","NotQuad",2755,0.152450090744102,2.67144101633394,1.19635114257552,3,1.4826,-0.358220239630996,1.10456681143746,-0.184615384615385,0.863443430769231
"9","Other",1,0,3,NA,3,0,0.728,NA,0.728,0
"10","Quad",978,0.212678936605317,2.44869120654397,1.31182501764274,3,1.4826,-0.619747646134073,1.19341481811378,-0.460830039525691,1.01681161660079
"11","URM",1271,0.221085759244689,2.40730920535012,1.30548473438733,3,1.4826,-0.482997210532354,1.18443600503076,-0.258461538461539,0.994767576923077
"12","URM&FEM",1139,0.187884108867428,2.57634767339772,1.2904964257552,3,1.4826,-0.53968482980463,1.12427710589275,-0.328571428571428,0.944916818181818
"13","URM&FG",228,0.166666666666667,2.50644736842105,1.26259334259276,3,1.4826,-0.367594078420158,1.17440182711542,-0.140679487179487,0.911891662499999
"14","URM&FG&FEM",233,0.214592274678112,2.40390557939914,1.282217815166,2.66,0.978516,-0.639930956961073,1.1583249786178,-0.56,0.99126636
"15","URM&FG&LI",744,0.168010752688172,2.61869623655914,1.22920070285518,3,1.4826,-0.290392198534981,1.1165652883136,-0.0884141414141417,0.954382566666666
"16","URM&LI",574,0.139372822299652,2.69468641114983,1.19675134252524,3,1.4826,-0.262677047741474,1.14165718169344,-0.0890909090909093,0.90890793
"17","URM&LI&FEM",627,0.191387559808612,2.60086124401914,1.32270038851462,3,1.4826,-0.549749887582479,1.26959814024392,-0.299,1.00896632307692
"18","0",978,0.212678936605317,2.44869120654397,1.31182501764274,3,1.4826,-0.619747646134073,1.19341481811378,-0.460830039525691,1.01681161660079
"19","1",2008,0.186752988047809,2.56893426294821,1.28436567088328,3,1.4826,-0.481953071258893,1.19578267240959,-0.267272727272727,0.97136775
"20","2",3177,0.160214038401007,2.65884167453573,1.24609664322542,3,1.4826,-0.449971712752854,1.13982230516609,-0.273,0.934950369230769
"21","3",4568,0.144264448336252,2.716661558669,1.20281168200285,3,1.4826,-0.408831722268861,1.07298103080882,-0.233846153846154,0.876957900000001
"22","4",2756,0.152394775036284,2.67156023222061,1.19615037249175,3,1.4826,-0.357826110371333,1.10456013700811,-0.184615384615385,0.864119931818182

____________________________

Regression, grade penalty ~ sai
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.564711284786607,0.0223336075131157,-25.2852694959815,7.364357400335e-138
"sai",0.0531614969473086,0.00820505795670243,6.47911291155267,9.54678020436661e-11

____________________________

